,original text,fwd_translated,rev_translated
1174," @hopefulauthor I'm doing well, thank you. I realize I have other tasks to complete, but instead, I am procrastinating on the computer. Laugh out loud.","@hopefulauthor Lo estoy haciendo bien, gracias. Me doy cuenta de que tengo otras tareas que completar, pero en su lugar, estoy procrastinando en la computadora. Ríete en voz alta.","@hopefulauthor I am doing well, thank you. I realize that I have other tasks to complete, but instead, I am procrastinating on the computer. Laugh aloud."
1175, Looking forward to completing it.,Estoy deseando completarlo.,I'm looking forward to completing it.
1176," @misecia, do you frequently share tweets like this? Though, I do concur with this specific one.","@misecia, ¿con frecuencia compartes tuits como este? Aunque, estoy de acuerdo con este específico.","@misecia, do you often share tweets like this? Although, I agree with this specific."
1177, I'd like to play 2k9 or Madden with @thebitb and @gameboy_ontheb.,Me gustaría jugar 2k9 o Madden con @thebitb y @gameboy_ontheb.,I would like to play 2k9 or Madden with @thebitb and @gameboy_ontheb.
1178," ""Agreed, Miley! It's so true. I should tell my boyfriend that, haha. Life is good.""","""Estoy de acuerdo, Miley, es verdad, debo decirle a mi novio que, jaja, la vida es buena"".","""I agree, Miley, it's true, I must tell my boyfriend that, haha, life is good."""
1179," @xxsara is struggling to recall the phrase for ""My name is"" in Italian.","@xxsara está luchando para recordar la frase para ""Mi nombre es"" en italiano.","@xxsara is struggling to remember the phrase for ""My name is"" in Italian."
1180," I am finished now. Have a good night. And this time, I really mean it.","He terminado, que tengas una buena noche y esta vez, lo digo en serio.","I'm done, have a good night and this time, I mean it."
1181," @igortizz, I recently viewed the movie Hancock, and currently, I'm attempting to mend my relationship with my ex-boyfriend. It's a challenge since he doesn't understand things well.","@igortizz, recientemente vi la película Hancock, y actualmente, estoy tratando de arreglar mi relación con mi ex-novio. Es un reto ya que no entiende las cosas bien.","@igortizz, I recently saw the movie Hancock, and currently, I'm trying to fix my relationship with my ex-boyfriend. It's a challenge since he doesn't understand things well."
1182," Regrettably, we have to inform you that the small rabbit in our yard has passed away an hour ago. It was a precious creature.","Lamentablemente, tenemos que informarles que el pequeño conejo en nuestro patio ha fallecido hace una hora. Era una criatura preciosa.","Unfortunately, we have to inform you that the little rabbit in our yard died an hour ago."
1183," ""Seems like teenagers today go through more than what used to be typical for people in their 20s, at least that's what I've been told about my own experiences.""","""Parece que los adolescentes de hoy pasan por más de lo que solía ser típico para las personas de 20 años, al menos eso es lo que me han dicho sobre mis propias experiencias"".","""It seems that today's teens go through more than it used to be typical for 20-year-olds, at least that's what I've been told about my own experiences."""
1184," ""Sleep well, America, Bahrain, and Baghdad! Goodnight!"" or ""Have a great day, everyone! Time for me to sleep!""","""¡Duerme bien, Estados Unidos, Bahréin y Bagdad! ¡Buenas noches!"" o ""¡Que tengan un gran día, todos! ¡Hora de dormir!""","""Sleep well, America, Bahrain and Baghdad! Good night!"" or ""Have a great day, everyone! Sleep time!"""
1185," @Georgiee_Porgie, I am really happy to have finally gotten a break! I wish that you could take a break too.","@Georgiee_Porgie, ¡estoy muy feliz de haber conseguido finalmente un descanso! Desearía que tú también pudieras tomar un descanso.","@Georgie_Porgie, I am very happy that I finally got a break! I wish you could take a break too."
1186," My friend received the job today and she truly deserves it. Congratulations, sister! Exciting news! 😃","Mi amiga recibió el trabajo hoy y ella realmente se lo merece. Felicitaciones, hermana! Noticias emocionantes!","My friend received the job today and she really deserves it. Congratulations, sister! Exciting news!"
1187," Sarah, it's great to hear that you also have a moon sign in Leo. I assume that you must be a strong-willed person.","Sarah, es genial escuchar que también tienes un signo de luna en Leo asumo que debes ser una persona de voluntad fuerte.","Sarah, it's great to hear that you also have a moon sign on Leo I assume you must be a strong will person."
1188," Adam, it's currently time to listen to The Smiths. Have a great night!","Adam, es hora de escuchar a los Smiths. ¡Que tengas una gran noche!","Adam, it's time to listen to the Smiths. Have a great night!"
1189, Completed my hair! On to a new day! Need to complete my art project to avoid failing the exam by year-end!,Completado mi cabello! En un nuevo día! Necesidad de completar mi proyecto de arte para evitar el fracaso del examen de fin de año!,Completed my hair! On a new day! Need to complete my art project to avoid the year-end exam failure!
1190," @caseysevenfold haha. I've also recently started referring to people as ""douches.""","@caseysevenfold haha. También he empezado recientemente a referirme a la gente como ""douches"".","@caseysevenfold haha. I have also recently started referring to people as ""douches""."
1191, Being generous to others for the sake of surprising them is fulfilling. Think about the numerous joyful expressions that would light up their faces!,Ser generoso con los demás por el bien de sorprenderlos es satisfactorio. Piense en las numerosas expresiones gozosas que iluminarían sus rostros!,Being generous to others for the sake of surprising them is satisfying. Think of the many joyous expressions that would illuminate your faces!
1192," @davidtennantfan haha...I am aware of numerous little versions of Tennant! Oh well, I need to resume working soon!","@davidtennantfan haha... Soy consciente de numerosas pequeñas versiones de Tennant! Oh bueno, tengo que reanudar el trabajo pronto!","@davidtennantfan haha... I am aware of numerous small versions of Tennant! Oh well, I have to resume work soon!"
1193," @kayebitch, sounds good! I'll message you. Let's aim for 8 pm so we can find the classroom together because we still don't know where it is.","@kayebitch, suena bien! Te enviaré un mensaje. Apuntemos a las 8 pm para que podamos encontrar el aula juntos porque todavía no sabemos dónde está.","@kayebitch, sounds good! I'll send you a message. Let's aim at 8 pm so we can find the classroom together because we still don't know where it is."
1194, Hesitating if it was a blunder to include @ssudaraka on his Twitter.,Dudando si fue un error incluir a @ssudaraka en su Twitter.,Doubting whether it was a mistake to include @ssudaraka on your Twitter.
1195," After his Twitter account was deleted, he disappeared and it's unfortunate.","Después de que su cuenta de Twitter fue borrada, desapareció y es desafortunado.","After his Twitter account was deleted, he disappeared and is unfortunate."
1196," SavannahAustria, I am very envious! I want to travel to Vienna because it seems like a beautiful city.","SavannahAustria, soy muy envidioso! Quiero viajar a Viena porque parece una ciudad hermosa.","SavannahAustria, I am very envious! I want to travel to Vienna because it looks like a beautiful city."
1197," ""Today is going to be a very long day. I wish it was already Monday. First thing on the to-do list is picking up my mom to help move a mattress, go shopping, and recycle.""","""Hoy va a ser un día muy largo. Ojalá ya fuera lunes. Lo primero en la lista de tareas pendientes es recoger a mi madre para ayudar a mover un colchón, ir de compras y reciclar"".","""Today is going to be a very long day. I wish it were Monday. The first thing on the to-do list is to pick up my mother to help move a mattress, go shopping and recycle."""
1198, Mars planets are similar to Revels but without the undesirable flavors such as coffee and strange orange replacements.,"Los planetas de Marte son similares a Revels, pero sin los sabores indeseables como el café y los extraños reemplazos de naranja.","Mars planets are similar to Revels, but without undesirable flavors such as coffee and strange orange replacements."
1199," @shonias mentioned that they think there is a space for cheap and low-quality items, but they would rather Caitlin misplace or damage those types of items than valuable and high-quality ones such as an amethyst ring.","@shonias mencionó que piensan que hay un espacio para artículos baratos y de baja calidad, pero preferirían que Caitlin se extraviara o dañara ese tipo de artículos que valiosos y de alta calidad, como un anillo de amatista.","@shonias mentioned that they think there is a space for cheap and low quality items, but they would prefer Caitlin to go astray or damage those kinds of items that are valuable and of high quality, like an amethyst ring."
1200, KidNovice laughed at the idea of pirates from Iowa and questioned if there was even an ocean there.,KidNovice se rió de la idea de los piratas de Iowa y preguntó si incluso había un océano allí.,KidNovice laughed at the idea of Iowa pirates and asked if there was even an ocean there.
1201, I am logging off now because I need to be at Cafe de Paris by 10:30. It is possible for me to make it if I leave home within the next 20 minutes and refrain from using Twitter. See you later.,Me voy ahora porque necesito estar en el Café de París a las 10:30. Es posible que lo haga si salgo de casa dentro de los próximos 20 minutos y me abstengo de usar Twitter. Nos vemos más tarde.,I'm leaving now because I need to be at the Café de Paris at 10:30. I might do it if I leave home within the next 20 minutes and refrain from using Twitter. See you later.
1202," @Kazcita believes that due to constant job losses and perceived high immigration, the situation in the UK could be quite bad. #thebnparetwats","@Kazcita cree que debido a la constante pérdida de puestos de trabajo y la percepción de alta inmigración, la situación en el Reino Unido podría ser bastante mala. #thebnparetwats","@Kazcita believes that due to the constant loss of jobs and the perception of high immigration, the situation in the UK could be quite bad. #thebnparetwats"
1203, I'm enjoying reading   now! I just wish I could travel more and take a picture of what's in my bag.,Ojalá pudiera viajar más y tomar una foto de lo que hay en mi bolso.,I wish I could travel more and take a picture of what's in my purse.
1204, I am currently enjoying Paramore's music with my cousin LEUSA.,Actualmente estoy disfrutando de la música de Paramore con mi prima LEUSA.,I am currently enjoying Paramore's music with my cousin LEUSA.
1205, My focus is decreasing while I'm still in my pajamas. I'm longing to be outside under the sun!,Mi enfoque está disminuyendo mientras sigo en pijama. ¡Anhelo estar afuera bajo el sol!,My focus is decreasing while I'm still in my pajamas. I long to be out in the sun!
1206, @InnerWizard Wishing you a fantastic start to the week!,@InnerWizard ¡Deseándote un fantástico comienzo de semana!,@InnerWizard Wishing you a fantastic start to the week!
1207," @MusicLover_15: That happened in 2007, possibly in October.","@MusicLover_15: Eso ocurrió en 2007, posiblemente en octubre.","@MusicLover_15: That happened in 2007, possibly in October."
1208, @anilam18 I'm intentionally starting a argument with him to make him react.,@anilam18 Estoy intencionalmente comenzando una discusión con él para hacerle reaccionar.,@anilam18 I am intentionally starting a discussion with him to make him react.
1209," @MummaBear, I usually pick up the phone and inform the caller that I am turning off the bath, while leaving the phone on a surface close by.","@MummaBear, suelo coger el teléfono e informar al que llama que estoy apagando el baño, mientras dejo el teléfono en una superficie cercana.","@MummaBear, I usually pick up the phone and inform the caller that I am turning off the bathroom, while leaving the phone on a nearby surface."
1210, I'm really unhappy that my new house doesn't have an aerial on the roof. My indoor aerial isn't good enough. What the heck?,"Estoy muy triste de que mi nueva casa no tenga una antena en el techo, mi antena interior no es lo suficientemente buena. ¿Qué diablos?","I'm very sad that my new house doesn't have an antenna on the roof, my inner antenna isn't good enough. What the hell?"
1211, I'm not familiar with that either. I'll decline the recipe for now. Thank you though.,"No estoy familiarizado con eso tampoco, voy a rechazar la receta por ahora.","I'm not familiar with that either, I'm going to reject the recipe for now."
1212," There are many Brazilian boys who are gay present here. We are going to miss Marcelo, who is a cute ballerina.","Hay muchos chicos brasileños que son gays presentes aquí. Vamos a extrañar a Marcelo, que es una linda bailarina.","There are many Brazilian boys who are gay present here. Let’s miss Marcelo, who is a beautiful dancer."
1213, @Idristwilight is saying that they are too old to vote and finds it unfortunate. They added a laughing out loud (lol) to show their lightheartedness about the situation.,@Idristwilight está diciendo que son demasiado viejos para votar y lo encuentra desafortunado. Añadieron una risa en voz alta (lol) para mostrar su alegría sobre la situación.,@Idristwilight is saying they are too old to vote and finds it unfortunate. They added a laugh out loud (lol) to show their joy about the situation.
1214," Congratulations in advance for your imminent graduation from high school, TravisDST!","¡Felicitaciones por adelantado por tu inminente graduación del instituto, TravisDST!","Congratulations in advance on your upcoming high school graduation, TravisDST!"
1215," @YourRockerChic thinks that the person in question is ideal in every way except for their tendency to seek attention, but they are still very affectionate and can be held like a baby.","@YourRockerChic piensa que la persona en cuestión es ideal en todos los sentidos excepto por su tendencia a buscar atención, pero todavía son muy cariñosos y pueden ser mantenidos como un bebé.","@YourRockerChic thinks that the person in question is ideal in every way except for their tendency to seek attention, but they are still very affectionate and can be kept as a baby."
1216, Feeling energetic and excited for a midday run to organize my life.,Me siento enérgico y emocionado por una carrera del mediodía para organizar mi vida.,I feel energetic and excited about a midday race to organize my life.
1217, It's heartbreaking to learn about the Bushmeat trade in Africa.,Es desgarrador aprender sobre el comercio de carne de Bush en África.,It's heartbreaking to learn about Bush's meat trade in Africa.
1218, It is unfortunate to hear that the Crumpler Daily line has been terminated.,Es lamentable oír que la línea de Crumpler Daily ha sido cancelada.,It's unfortunate to hear that the Crumpler Daily line has been canceled.
1219," @ElectriKateD, thank you sister. So, when will you be able to find me an Eleazar? (giggles)","@ElectriKateD, gracias hermana. Entonces, ¿cuándo vas a ser capaz de encontrarme un Eleazar?","@ElectriKateD, thank you sister. So when are you going to be able to find me an Eleazar?"
1220," @darraghdoyle thinks the idea of going to the balcony is funny, but will give it a try regardless.","@darraghdoyle piensa que la idea de ir al balcón es divertida, pero le dará una oportunidad a pesar de todo.","@darraghdoyle thinks the idea of going to the balcony is fun, but it will give you a chance despite everything."
1221," Six glasses of wine, folks! Haha, on the way to a party!","¡Seis copas de vino, amigos!","Six glasses of wine, folks!"
1222," Consider using EmailUnlimited if you have to send emails to 100,000 contacts.","Considere usar EmailUnlimited si tiene que enviar correos electrónicos a 100,000 contactos.","Consider using EmailUnlimited if you have to send emails to 100,000 contacts."
1223," Looks like I won't be able to go to Whitefield, @sureshbalaji.","Parece que no podré ir a Whitefield, @sureshbalaji.","Looks like I won't be able to go to Whitefield, @sureshbalaji."
1224," @quartzcrystal, I agree. This means tonight might be a possibility! Do you know of any good shows to watch? I just woke up from my sleeping pod.","@quartzcrystal, estoy de acuerdo. Esto significa que esta noche podría ser una posibilidad! ¿Sabes de algún buen espectáculo para ver? Acabo de despertar de mi vaina de dormir.","@quartzcrystal, I agree. This means that tonight could be a possibility! Do you know of any good show to watch? I just woke up from my sleeping pod."
1225," @miasmom1, I used to require at least 8 hours of sleep, but now I usually get between 4 and 6 hours.","@miasmom1, solía requerir al menos 8 horas de sueño, pero ahora suelo tener entre 4 y 6 horas.","@miasmom1, used to take at least 8 hours of sleep, but now I usually have between 4 and 6 hours."
1226, Currently shopping for shoes in the city and staying focused. (with a hint of humor),"En la actualidad, comprar zapatos en la ciudad y mantenerse enfocado. (con un toque de humor)","Today, buy shoes in the city and stay focused. (with a touch of humor)"
1227," It took a while to prepare, but I am not dressed appropriately, although I still look good with my Levi's, t-shirt, and pretty face.","Me tomó un tiempo prepararme, pero no estoy vestida apropiadamente, aunque todavía me veo bien con la camiseta de Levi y mi cara bonita.","It took me a while to get ready, but I'm not dressed properly, although I still look good with Levi's shirt and my pretty face."
1228," @pnoveros, how did you find my Twitter account? I hope you don't take offense, I'm just asking.","@pnoveros, ¿cómo encontraste mi cuenta de Twitter? Espero que no te ofendas, solo te lo pregunto.","@pnoveros, how did you find my Twitter account? I hope you’re not offended, I’m just asking."
1229," I just completed the Caribbean-themed flyer titled ""Irie Love Live @ ClubXi"" for @CLAIREonAIR. I'm exhausted and need to wake up in a few hours.","Acabo de completar el volante con temática caribeña titulado ""Irie Love Live @ ClubXi"" para @CLAIREONAIR. Estoy agotada y necesito despertar en unas horas.","I just completed the Caribbean-themed flyer entitled ""Irie Love Live @ ClubXi"" for @CLAIREONAIR. I am exhausted and need to wake up in a few hours."
1230," I didn't see the Orange Dot, it was @9_6 who thought of it and saw it.","No vi el Punto Naranja, fue @9_6 quien lo pensó y lo vio.","I didn't see the Orange Point, it was @9_6 who thought about it and saw it."
1231," ""Cheering for Arkansas! #followfriday""","""¡Anímate por Arkansas! #seguid el viernes""","""Cheer up for Arkansas!"
1232," @12isthisthingon, thank you. I wish you success in completing the rest of it tonight so that you can be free from worrying about it later.","@12isthisthingon, gracias. Les deseo éxito en completar el resto esta noche para que puedan estar libres de preocuparse por ello más tarde.","@12isthisthingon, thank you. I wish you success in completing the rest tonight so that you can be free to worry about it later."
1233, Thank you @onlineresume for mentioning DAMES w/BRAINS in your #FF tweet. Much appreciated.,Gracias @onlineresume por mencionar DAMES w/BRAINS en su tweet #FF. Muy apreciado.,Thank you @onlineresume for mentioning DAMES w/BRAINS in your tweet #FF. Much appreciated.
1234, @MrsFiddlesticks expressed their interest in having bees but mentioned that they are unable to do so on their current property.,"@MrsFiddlesticks expresó su interés en tener abejas, pero mencionó que no pueden hacerlo en su propiedad actual.","@MrsFiddlesticks expressed interest in having bees, but mentioned that they cannot do so on their current property."
1235, I am alert and prepared to begin a fresh day in Cape Breton Island.,Estoy alerta y preparado para comenzar un día fresco en la isla de Cabo Bretón.,I am alert and prepared to start a cool day on Cape Breton Island.
1236," It's time to revise and I can't believe that I have to take an exam today, especially when the weather is so nice outside.","Es hora de revisar y no puedo creer que tenga que hacer un examen hoy, especialmente cuando el clima es tan agradable afuera.","It's time to check and I can't believe I have to take a test today, especially when the weather is so nice outside."
1237," Thanks @thankingdc34eva, I really enjoy watching Ms. Cleo. I'll switch to a different computer when I'm back home because my work computer won't let me watch. Do you have any plans for the weekend?","Gracias @thankingdc34eva, realmente disfruto viendo a la Sra. Cleo. Cambiaré a una computadora diferente cuando vuelva a casa porque mi computadora de trabajo no me dejará ver. ¿Tienes planes para el fin de semana?","Thanks @thankingdc34eva, I really enjoy seeing Mrs Cleo. I’ll switch to a different computer when I get home because my work computer won’t let me see. Do you have plans for the weekend?"
1238, @jstueve Oh no!! That was a significant event for my spouse and me!,@jstueve Oh no!! Ese fue un evento significativo para mi cónyuge y para mí!,@jstueve Oh no! That was a significant event for my spouse and me!
1239," @ThisIsBob, I felt disappointed that you didn't follow through with it.","@ThisIsBob, me decepcionó que no lo hubieras seguido.","@ThisIsBob, I was disappointed that you didn't follow him."
1240, Currently dining at Arby's and enjoying their delicious turkey toasted subs.,Actualmente cenando en Arby's y disfrutando de sus deliciosos submarinos tostados de pavo.,Currently dining at Arby's and enjoying its delicious turkey toasted submarines.
1241, The weather is terrible and I will arrive in Sheffield in 15 minutes but will have to wait for 40 minutes for Stephen's train.,El tiempo es terrible y llegaré a Sheffield en 15 minutos pero tendré que esperar 40 minutos para el tren de Stephen.,The weather is terrible and I'll get to Sheffield in 15 minutes but I'll have to wait 40 minutes for Stephen's train.
1242," @amotherswalk It's great to have a guy there to manage the crowd, I agree.","@amotherswalk Es genial tener a un tipo ahí para manejar a la multitud, estoy de acuerdo.","@amotherswalk It's great to have a guy there to drive the crowd, I agree."
1243," I'm sitting for my English exam at 8am, followed by Chemistry at noon.","Estoy sentado para mi examen de inglés a las 8 de la mañana, seguido de Química al mediodía.","I'm sitting for my English exam at 8 a.m., followed by Chemistry at noon."
1244," @Anne_A4L, are you feeling sleepy? Did you not get enough rest? By the way, my email wasn't that terrible.","@Anne_A4L, ¿te sientes somnoliento? ¿No has descansado lo suficiente? Por cierto, mi correo electrónico no fue tan terrible.","@Anne_A4L, do you feel sleepy? Haven't you had enough rest? By the way, my email was not so terrible."
1245," I couldn't pay for the movie Angels and Demons, so I watched it without paying.","No podía pagar por la película Ángeles y Demonios, así que la vi sin pagar.","I couldn't pay for the movie Angels and Demons, so I saw her without paying."
1246," @JeffZelaya, I'm definitely going to see you next time. Sorry, I'm upset that I missed seeing you, man.","@JeffZelaya, definitivamente voy a verte la próxima vez. Lo siento, estoy molesto porque eché de menos verte, hombre.","@JeffZelaya, I'm definitely going to see you next time. I'm sorry, I'm upset because I missed seeing you, man."
1247," I really enjoy doing DIY home decoration and repairing things, from small bolts to everything else.","Realmente disfruto haciendo decoración casera de bricolaje y reparando cosas, desde pequeños pernos a todo lo demás.","I really enjoy doing home decoration of DIY and repairing things, from small bolts to everything else."
1248," @hooeyspewer I hope he gets well soon, but even when sick, the alternative sounds better than just resting. ;-)","@hooeyspewer Espero que se ponga bien pronto, pero incluso cuando está enfermo, la alternativa suena mejor que simplemente descansar. ;-)","@hooeyspewer I hope you get well soon, but even when you are ill, the alternative sounds better than just resting. ;-)"
1249," @lynnbryn @midgetmum may begin with household chores soon and then have to focus on work. However, since it’s only Monday, an entire week of work is ahead.","@lynnbryn @midgetmum puede comenzar con las tareas domésticas pronto y luego tener que centrarse en el trabajo. Sin embargo, ya que es sólo lunes, toda una semana de trabajo está por delante.","@lynnbryn @midgetmum can start with household chores soon and then have to focus on work. However, as it is just Monday, a whole week of work is ahead."
1250, @neekbreek and I are both feeling sad because Twitter is not allowing us to connect and communicate with each other.,@neekbreek y yo nos sentimos tristes porque Twitter no nos permite conectarnos y comunicarnos.,@neekbreek and I feel sad because Twitter does not allow us to connect and communicate.
1251, I visited her blog and I am surprised to read that she might have committed suicide.,Visité su blog y me sorprende leer que pudo haberse suicidado.,I visited his blog and I'm surprised to read that he could have committed suicide.
1252, I cannot speak currently as my throat is experiencing intense pain.,"No puedo hablar en la actualidad, ya que mi garganta está experimentando un dolor intenso.","I cannot speak today, as my throat is experiencing intense pain."
1253, @ElkaBr thinks that a cat in the picture is beautiful and seeing it makes her miss her own cat who she can only visit twice a year because it lives with her grandma.,@ElkaBr piensa que un gato en la foto es hermoso y verlo hace que eche de menos a su propio gato que sólo puede visitar dos veces al año porque vive con su abuela.,@ElkaBr thinks a cat in the photo is beautiful and seeing it makes her miss her own cat that she can only visit twice a year because she lives with her grandmother.
1254," With a mischief-filled expression, I will soon take over. Thank you to my followers for following me. Spread the love even more.","Con una expresión llena de travesuras, pronto me haré cargo. Gracias a mis seguidores por seguirme. Difundir el amor aún más.","With an expression full of mischief, I will soon take care of it, thanks to my followers for following me, spreading love even more."
1255," ""Wow, I've never heard of storylines in porn before!""","""¡Vaya, nunca había oído hablar de cuentos en el porno!""","""Wow, I've never heard of stories in porn!"""
1256, I am happy that I use the RI Bridge as my route for commuting during #FleetWeek.,Estoy feliz de usar el puente RI como mi ruta para viajar durante #FleetWeek.,I am happy to use the RI Bridge as my route to travel during #FleetWeek.
1257, Leaving the bed now to get some iced refreshing drink and maybe some Caprese salad because it's missed so much! Feeling quite emotional today.,Saliendo de la cama ahora para conseguir un poco de bebida refrescante helado y tal vez un poco de ensalada Caprese porque se ha perdido mucho! Se siente bastante emocional hoy.,Getting out of bed now to get some refreshing ice cream drink and maybe some Caprese salad because it's missed a lot! It feels pretty emotional today.
1258," @imseth how is the weather in Texas today? Also, do you know the time? Norway is wonderful today with indescribable weather.","@imseth ¿cómo es el clima en Texas hoy? Además, ¿sabes el tiempo? Noruega es maravillosa hoy con el clima indescriptible.","@imseth how is the weather in Texas today? Also, do you know the weather? Norway is wonderful today with the indescribable weather."
1259," ""My sleep schedule is messed up. I have to stay awake until midnight to have a good night's sleep because I haven't slept."" - @kimoraklein","""Mi horario de sueño está mal. Tengo que permanecer despierto hasta la medianoche para tener una buena noche de sueño porque no he dormido."" - @kimoraklein","""My sleep schedule is wrong. I have to stay awake until midnight to have a good night's sleep because I haven't slept."" - @kimoraklein"
1260," ""I can definitely relate to that feeling. Life can be so unfair! Did you happen to watch 'Down Goes Another One'? :) ""","""Definitivamente puedo relacionarme con ese sentimiento. ¡La vida puede ser tan injusta! ¿Por casualidad viste 'Down Goes Other One'? :) ""","""I can definitely relate to that feeling. Life can be so unfair! Did you happen to see 'Down Goes Other One'? :)"""
1261," @imnisa is expressing their disappointment for not being able to post a comment, but they have taken a screenshot of it.","@imnisa está expresando su decepción por no poder publicar un comentario, pero han tomado una captura de pantalla de él.","@imnisa is expressing disappointment at not being able to post a comment, but they have taken a screenshot of it."
1262," Yesterday, Setfire Sam started a new project called tyoc that aims to extract URLs from Twitter for a useful purpose, according to @johnleach's tweet.","Ayer, Setfire Sam inició un nuevo proyecto llamado tyoc que tiene como objetivo extraer URLs de Twitter para un propósito útil, según el tweet de @johnleach.","Yesterday, Setfire Sam started a new project called tyoc that aims to extract URLs from Twitter for a useful purpose, according to @johnleach's tweet."
1263," I was considering getting a tattoo of lyrics on my foot, but not related to KOL. It's a secret, don't tell the boys.","Estaba pensando en hacerme un tatuaje de letras en el pie, pero no relacionado con KOL. Es un secreto, no se lo digas a los chicos.","I was thinking of getting a letter tattoo on my foot, but not related to KOL. It's a secret, don't tell the boys."
1264," @ProfessionalOne: Fresh slow-roasted coffee with a smooth, bold taste that's not too bitter. Let loose and have a good time! Don't take yourself too seriously.",@ProfessionalOne: Fresco café asado lentamente con un sabor suave y audaz que no es demasiado amargo. ¡Suelte y diviértase! No se tome demasiado en serio.,@ProfessionalOne: Fresh roasted coffee slowly with a soft and bold flavor that is not too bitter. Let go and have fun! Don't take yourself too seriously.
1265, Becoming more sophisticated with each passing moment by consuming instant coffee and leftover cake that is several days old.,Llegar a ser más sofisticado con cada momento que pasa por el consumo de café instantáneo y pastel sobrante que es de varios días de antigüedad.,Become more sophisticated with every moment you go through the consumption of instant coffee and leftover cake that is several days old.
1266," I will be spending time with AmberCadabra, who has returned for a conference. I will miss you a lot, Mollena.","Voy a pasar tiempo con AmberCadabra, que ha vuelto para una conferencia. Te echaré mucho de menos, Mollena.","I'm going to spend time with AmberCadabra, who's back for a lecture."
1267," @peterfacinelli, could you please provide me with the link to your Myspace page?","@peterfacinelli, ¿podría por favor proporcionarme el enlace a su página Myspace?","@peterfacinelli, could you please provide me with the link to your Myspace page?"
1268," @andywinkle, I'm leaving to catch the bus. See you later, @westmo. Love you.","@andywinkle, me voy a coger el autobús. Nos vemos más tarde, @westmo. Te quiero.","@andywinkle, I'm going to catch the bus. See you later, @westmo. I love you."
1269, My birthday is only two weeks away and I am not happy about getting older.,Mi cumpleaños está a sólo dos semanas y no estoy feliz de envejecer.,My birthday is only two weeks away and I'm not happy to grow old.
1270," @moviegrrl, you have a great partner! x","@moviegrl, ¡tienes un gran socio! x","@moviegrl, you have a great partner! x"
1271," The end of a pleasant afternoon is marked by a small child being stung on the lip by a bee, causing distress.","El final de una tarde agradable es marcado por un niño pequeño siendo picado en el labio por una abeja, causando angustia.","The end of a pleasant afternoon is marked by a small child being chopped on the lip by a bee, causing distress."
1272," @cragchris confirmed that Martin Clunes' 3-part series may or may not be airing tonight based on a trailer ad, but it looks impressive.","@cragchris confirmó que la serie de 3 partes de Martin Clunes puede o no estar emitiendo esta noche basado en un anuncio de tráiler, pero parece impresionante.","@cragchris confirmed that Martin Clunes' 3-part series may or may not be broadcasting tonight based on a trailer ad, but it seems impressive."
1273," @elysion32, congrats! It's Monday for me too, but I'm optimistic about having a productive day.","@elysion32, felicidades! Es lunes para mí también, pero soy optimista sobre tener un día productivo.","@elysion32, congratulations! It's Monday for me too, but I'm optimistic about having a productive day."
1274," @GabrielSaporta, schedule additional concerts and reach a wider audience.","@GabrielSaporta, programa conciertos adicionales y llega a un público más amplio.","@GabrielSaporta, program additional concerts and reach a wider audience."
1275, I'm heading to sleep now and I'll try to solve the video issue when I wake up tomorrow. Goodnight <3,Me voy a dormir ahora y trataré de resolver el problema del video cuando me despierte mañana. Buenas noches <3,I'll go to sleep now and try to solve the video problem when I wake up tomorrow. Good night <3
1276, @Scaraboo I'm sorry to hear that you're in pain. Will you be seeing a doctor for it?,@Scaraboo Siento oír que estás sufriendo. ¿Vas a ver a un médico para eso?,@Scaraboo I'm sorry to hear you're suffering. Are you going to see a doctor for that?
1277," @Taddy69, I didn't make that tweet. However, someone else did and it claims that giant caterpillars are invading and causing rashes and other problems.","@Taddy69, yo no hice ese tuit. Sin embargo, alguien más lo hizo y afirma que las orugas gigantes están invadiendo y causando erupciones y otros problemas.","@Taddy69, I didn't make that tweet. However, someone else did and claims that giant caterpillars are invading and causing eruptions and other problems."
1278," I own a keyboard specifically for playing FFXI, and I connect it to my console (PS3 or Xbox360). Although it lights up, it doesn't function properly.","Tengo un teclado específicamente para reproducir FFXI, y lo conecto a mi consola (PS3 o Xbox360). Aunque se ilumina, no funciona correctamente.","I have a keyboard specifically for playing FFXI, and I connect it to my console (PS3 or Xbox360). Although it lights up, it doesn't work properly."
1279," I am revising my parents' e-safety workshop for tomorrow night, I believed I had completed it earlier.","Estoy revisando el taller de seguridad electrónica de mis padres para mañana por la noche, creí que lo había completado antes.","I'm checking my parents' e-security workshop by tomorrow night, I thought I'd completed it before."
1280," I had a suspicion that today might be the day the @netmag magazine arrives, and it turns out I was correct! Many thanks to the mailman.","Tenía la sospecha de que hoy podría ser el día que llegue la revista @netmag, ¡y resulta que estaba en lo cierto! Muchas gracias al cartero.","I had the suspicion that today might be the day the @netmag magazine arrived, and it turns out I was right! Thank you very much to the postman."
1281, The video is being rendered again and the person is excited about it. They are asking if others are feeling the same way.,El video está siendo renderizado de nuevo y la persona está emocionada por ello. Ellos están preguntando si otros están sintiendo lo mismo.,The video is being rendered again and the person is excited about it. They are asking if others are feeling the same.
1282," Please follow me Demi, I need to talk to you.","Por favor, sígueme Demi, necesito hablar contigo.","Please follow me Demi, I need to talk to you."
